x	y	objectid	rowid_	holiday	violation_code	violation_description	location	rp_plate_state	body_style	address_id	streetsegid	xcoord	ycoord	filename	ticket_issue_datetime
-77.0441806538	38.9037532028	1533291	6479014	False	P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	2000 BLOCK L ST NW NORTH SIDE	DC	VA	811335	9712.0	396168	137322	Parking_Violations_in_July_2011.csv	2011-07-06T16:09:00.000Z
-77.0425677615	38.9056635726	5680803	10607968	False	P039	PARK AT EXPIRED METER	1900 BLOCK M ST NW SOUTH SIDE	DC	4D	809121	7809.0	396308	137534	Parking_Violations_in_July_2009.csv	2009-07-02T14:08:00.000Z
-77.0207342646	38.8750860519	5962861	5979623	False	P039	PARK AT EXPIRED METER	0600 BLOCK WATER ST SW NORTH SIDE	DC	UT	800032	31.0	398201	134139	Parking_Violations_in_October_2011.csv	2011-10-07T17:55:00.000Z
-77.0337435918	38.9694722285	10518033	6853772	False	P076		6600 BLOCK LUZON AV NW NORTH SIDE	MD	4D	803834	3137.0	397076	144617	Parking_Violations_in_April_2011.csv	2011-04-04T01:46:00.000Z
