accidentindicator	address_id	agencyid	fineamt	location	objectid	penalty1	penalty2	row_	streetsegid	ticketissuedate	tickettype	totalpaid	violationcode	violationdesc	xcoord	y	ycoord	filename	﻿x
False		25.0	50.0	SE/SW FRWY @ 9TH ST ENTRANCE SE E/B	198244			214296	14746.0	2009-04-10T00:00:00.000Z	Photo	50.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	400436.0807	38.8787915207	134550.1426	Moving_Violations_in_April_2009.csv	-76.994976553
False		25.0	100.0	DC295 NE AT BENNING RD EXIT N/B	4002218			4079978	5134.0	2015-10-19T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	404307.5	38.8971950819	136594.24	Moving_Violations_in_October_2015.csv	-76.9503465327
False		25.0	50.0	3RD ST TUNNEL NW N/B AT MA AVE EXIT	167799			131648	6364.0	2009-03-03T00:00:00.000Z	Photo	50.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398782.5209	38.895624628	136418.8295	Moving_Violations_in_March_2009.csv	-77.0140367592
False	809209.0	25.0	100.0	1600 BLK MINNESOTA AVE SE SW/B	3503919			3330892	7882.0	2014-11-13T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	401585.1	38.8679892832	133351.16	Moving_Violations_in_November_2014.csv	-76.9817371356
